City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,46.51,66,40,6.91,scattered clouds
1,Victoria,HK,22.2855,114.1577,86.18,84,100,3.0,overcast clouds
2,Dikson,RU,73.5069,80.5464,39.9,96,100,19.22,overcast clouds
3,Port Alfred,ZA,-33.5906,26.891,54.18,90,37,5.01,scattered clouds
4,San Patricio,US,28.017,-97.5169,91.29,64,6,14.25,clear sky
5,San Cristobal,VE,7.7669,-72.225,77.18,93,85,3.04,overcast clouds
6,Barrow,US,71.2906,-156.7887,41.02,87,75,9.22,broken clouds
7,Sur,OM,22.5667,59.5289,82.45,66,7,6.6,clear sky
8,Upernavik,GL,72.7868,-56.1549,37.33,83,37,15.48,scattered clouds
9,Bethel,US,41.3712,-73.414,78.03,77,35,1.01,scattered clouds
10,Kavieng,PG,-2.5744,150.7967,84.9,70,29,17.47,light rain
11,College,US,64.8569,-147.8028,62.55,73,75,5.75,broken clouds
12,Gunjur,GM,13.2019,-16.7339,77.07,100,75,2.3,thunderstorm with rain
13,Puerto Ayora,EC,-0.7393,-90.3518,68.56,89,94,7.0,overcast clouds
14,Nanortalik,GL,60.1432,-45.2371,40.98,93,100,5.66,overcast clouds
15,Ouesso,CG,1.6136,16.0517,69.53,99,99,1.97,moderate rain
16,Mar Del Plata,AR,-38.0023,-57.5575,44.87,57,0,4.0,clear sky
17,Lebu,CL,-37.6167,-73.65,48.11,89,1,10.8,clear sky
18,Passo De Camaragibe,BR,-9.2368,-35.4901,74.75,94,23,4.07,few clouds
19,Cherskiy,RU,68.75,161.3,61.75,56,98,11.77,light rain
20,Yellowknife,CA,62.456,-114.3525,55.92,94,100,13.8,light intensity shower rain
21,Bengkulu,ID,-3.8004,102.2655,74.93,88,87,2.86,overcast clouds
22,Mount Gambier,AU,-37.8333,140.7667,59.32,63,28,11.43,scattered clouds
23,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,93,100,11.5,overcast clouds
24,Codrington,AU,-38.2667,141.9667,61.02,74,66,14.9,broken clouds
25,Tananger,NO,58.9333,5.6,55.38,88,13,0.0,few clouds
26,Hovd,MN,48.0056,91.6419,52.93,58,50,2.89,scattered clouds
27,Okhotsk,RU,59.3833,143.3,52.68,89,100,7.99,light rain
28,Nosivka,UA,50.9315,31.5828,60.17,71,29,4.56,scattered clouds
29,Saint-Philippe,RE,-21.3585,55.7679,69.39,87,16,8.05,light rain
30,Sitka,US,57.0531,-135.33,60.69,82,100,5.75,light rain
31,Northam,GB,51.0333,-4.2167,61.39,82,76,5.7,broken clouds
32,Kaitangata,NZ,-46.2817,169.8464,51.46,63,7,2.13,clear sky
33,Gizo,SB,-8.103,156.8419,83.37,69,99,10.6,overcast clouds
34,Castro,BR,-24.7911,-50.0119,59.23,92,86,9.06,overcast clouds
35,Busselton,AU,-33.65,115.3333,49.78,68,100,5.08,overcast clouds
36,Bambous Virieux,MU,-20.3428,57.7575,69.22,84,41,11.59,scattered clouds
37,Nhulunbuy,AU,-12.2333,136.7667,81.21,78,100,12.66,overcast clouds
38,Mogadishu,SO,2.0371,45.3438,75.4,80,64,16.8,broken clouds
39,Avarua,CK,-21.2078,-159.775,77.05,78,78,6.91,broken clouds
40,Semirom,IR,31.4167,51.5667,53.67,15,0,3.11,clear sky
41,Mataura,NZ,-46.1927,168.8643,46.47,64,4,2.24,clear sky
42,Ulladulla,AU,-35.35,150.4667,64.18,62,16,8.7,few clouds
43,Hualmay,PE,-11.0964,-77.6139,62.01,82,12,9.01,few clouds
44,Rikitea,PF,-23.1203,-134.9692,72.23,82,100,25.93,light rain
45,Ancud,CL,-41.8697,-73.8203,41.5,83,71,5.44,broken clouds
46,Chokurdakh,RU,70.6333,147.9167,53.17,53,98,9.57,overcast clouds
47,Airai,TL,-8.9266,125.4092,67.48,60,26,3.71,scattered clouds
48,Albany,US,42.6001,-73.9662,79.21,69,74,1.99,broken clouds
49,San Antonio,US,29.4241,-98.4936,96.91,46,0,18.41,clear sky
50,Kruisfontein,ZA,-34.0033,24.7314,51.89,82,32,10.76,scattered clouds
51,Macau,MO,22.2006,113.5461,85.86,84,20,3.44,few clouds
52,Sarkand,KZ,45.41,79.9186,57.0,42,0,4.23,clear sky
53,Yazman,PK,29.1212,71.7446,86.97,62,100,11.59,overcast clouds
54,Kidal,ML,18.4411,1.4078,87.22,46,68,8.86,broken clouds
55,Iberia,US,29.9502,-91.7507,87.96,62,75,14.97,broken clouds
56,Thompson,CA,55.7435,-97.8558,71.76,88,40,3.44,scattered clouds
