City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
44,Rikitea,PF,72.23,light rain,-23.1203,-134.9692,People ThankYou
56,Thompson,CA,71.76,scattered clouds,55.7435,-97.8558,Burntwood Hotel
65,Hami,CN,70.38,clear sky,42.8,93.45,Laoyutang Resort
69,Horadiz,AZ,71.96,clear sky,39.4488,47.3353,Horadiz Olympic Center
72,Moroni,KM,72.25,clear sky,-11.7022,43.2551,Hotel Les Arcades
78,Hargeysa,SO,70.74,few clouds,9.56,44.065,City Center Hotel
102,Sao Joao Da Barra,BR,71.74,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
112,Arraial Do Cabo,BR,70.74,clear sky,-22.9661,-42.0278,Pousada Porto Praia
119,Ponta Do Sol,PT,71.01,scattered clouds,32.6667,-17.1,Hotel do Campo
121,Gamba,GA,72.3,broken clouds,-2.65,10.0,
127,Atikokan,CA,72.14,broken clouds,48.7555,-91.6216,Quetico Inn (formerly Radisson)
133,Lagoa,PT,71.22,overcast clouds,39.05,-27.9833,Casa Das Faias
135,Yaan,NG,71.29,light rain,7.3833,8.5667,
136,Whitecourt,CA,70.84,broken clouds,54.1502,-115.6855,Super 8 by Wyndham Whitecourt
138,Souillac,MU,70.52,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
146,Valverde Del Camino,ES,70.03,light rain,37.5751,-6.7543,HOTEL MONTEAROMA (ulamde hotelera S.L.)
154,Itambacuri,BR,70.05,few clouds,-18.0311,-41.685,Pousada Bela
187,Guerrero,MX,71.15,overcast clouds,17.6667,-100.0,Villaxochilt
191,Kolokani,ML,72.72,scattered clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
216,Puerto Del Rosario,ES,71.35,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
234,Quelimane,MZ,71.55,clear sky,-17.8786,36.8883,Hotel Flamingo
237,Kisangani,CD,70.5,overcast clouds,0.5167,25.2,Grand Ramela Hotel
250,Tonantins,BR,71.94,overcast clouds,-2.8731,-67.8022,Hotel Hortensias
253,Natitingou,BJ,70.3,light rain,10.3042,1.3796,Cotonou
257,Caorle,IT,72.41,overcast clouds,45.5966,12.8758,Maxim
279,Pacific Grove,US,72.39,clear sky,36.6177,-121.9166,Lovers Point Inn
283,Luau,AO,70.14,broken clouds,-10.7073,22.2247,Kimbo Hotel
294,Kalaleh,IR,72.27,clear sky,37.3807,55.4916,کلاله
318,Camopi,GF,72.68,broken clouds,3.1655,-52.3158,La pousada
324,Broken Hill,AU,71.42,clear sky,-31.95,141.4333,Royal Exchange Hotel
336,Kaputa,ZM,72.3,scattered clouds,-8.4689,29.6619,Chelelwa Charlets
338,Ponta Delgada,PT,72.5,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
340,Biga,TR,72.05,clear sky,40.2281,27.2422,Köşdere Otel
345,Caravelas,BR,71.01,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
368,High Level,CA,71.71,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
370,Grammenitsa,GR,70.59,few clouds,39.1831,20.9806,Hotel Marathia
384,Praia Da Vitoria,PT,71.85,scattered clouds,38.7333,-27.0667,Hotel Branco I
388,Micheweni,TZ,72.68,clear sky,-4.9667,39.8333,
390,Basoko,CD,71.2,light rain,1.2391,23.616,Jackyna Hotel
397,Garowe,SO,72.01,overcast clouds,8.4054,48.4845,Curubo Hotel
407,Adrano,IT,72.19,broken clouds,37.6618,14.8348,B&B Patty's House
431,Tecalitlan,MX,72.41,broken clouds,19.4667,-103.3,Hotel Tierra Bella
442,Kamaishi,JP,70.59,few clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
454,Mitu,CO,72.66,overcast clouds,1.1983,-70.1733,
459,San Marino,SM,72.82,overcast clouds,43.9333,12.4167,Grand Hotel San Marino
483,San Quintin,MX,71.96,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
490,Kropotkin,RU,72.19,broken clouds,45.4375,40.5756,Hotel Europe Kropotkin
503,Kesztolc,HU,70.18,scattered clouds,47.7127,18.8018,Klastromkert Erdei Szabadidőpark és Parasztudvar
535,Belmonte,BR,71.13,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
549,Canico,PT,70.43,broken clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
570,Maruoka,JP,71.49,scattered clouds,36.1534,136.2703,ウインザー
588,Farah,AF,70.92,clear sky,32.5,62.5,
618,Vila Franca Do Campo,PT,72.19,light rain,37.7167,-25.4333,Pestana Bahia Praia
625,Moose Factory,CA,71.71,overcast clouds,51.2585,-80.6094,Moosonee Lilypad
634,Staraya Sunzha,RU,72.16,clear sky,43.3372,45.7422,Grozny City Hotel
